timestamp,id,duration,billed,memory,memUsed,init,logStreamName
1669740327110,56b84432-5a39-4714-a9c9-23866e1762f3,100.70,101,3008,91,373.47,2022/11/29/[1]91ef3010cb284d85a79d448a76dd0677
1669743927093,cd58d18d-3a6d-4b48-9dda-6029a1e5a8f9,120.40,121,3008,90,361.75,2022/11/29/[1]0c8fb42d58bd41c8863591a56cce3a3e
1669747527210,5301dcc5-72ff-4b55-9f13-b6858fe3dff1,101.25,102,3008,90,365.77,2022/11/29/[1]eba0ec5eb5004b9f86500b8271a52f8b
1669751126975,f6afa256-741c-4844-8edd-caf6ed27e836,106.15,107,3008,90,391.71,2022/11/29/[1]b039edcdc1ca4c9cb9eb364528f25e18
1669754727465,99203409-6f5d-48b8-836a-3ff7cd7d7206,96.98,97,3008,90,356.09,2022/11/29/[1]9ef15cb8e51746658287b595e014fea3
1669758327019,c50f4598-99bd-4ffc-ad29-09eb77cac761,98.96,99,3008,90,352.84,2022/11/29/[1]19aabfe90ed747dabb12846846d8a21c
1669761926780,7e0d1721-fd4f-486f-a083-fd1fb7c1da0b,79.69,80,3008,90,273.34,2022/11/29/[1]d170f3f098d7494f85bd1fe3e1935a03
1669765526812,7c7a0f66-adb2-4555-aa3c-4045f3ad8654,92.98,93,3008,90,325.82,2022/11/29/[1]c36f38c87d5e429e9a85b7ceb32dba19
1669769127066,67e77f31-1601-4502-9c70-dc511448dada,102.23,103,3008,90,335.12,2022/11/30/[1]e846d272688c4a59b93a91c63b85cbad
1669772727246,a7ae2570-cd43-425c-ae61-bc6068fc4595,102.56,103,3008,91,374.58,2022/11/30/[1]c8b1c887320d41cabd618d496f17f15a
1669776327081,e1bc3bad-777c-4672-bcba-844b1bde74d5,91.55,92,3008,90,314.33,2022/11/30/[1]20cccb2e176c45c2af388ba346850b13
1669779927148,d735e370-cd09-4653-8a07-36b1e92badd6,97.64,98,3008,90,330.47,2022/11/30/[1]ddb1279936e34be6b13a428d54b30e1f
1669783527250,42a5e87b-daa6-4b3d-91b2-e7031b5ae4a3,94.59,95,3008,91,326.78,2022/11/30/[1]85776b13eb224f24a1999934316f6d10
1669787127115,7b39ddc8-de21-4992-bb65-55d0ec4c865b,95.98,96,3008,91,343.96,2022/11/30/[1]70b7b30c42954b25bc5e7e199f146706
1669790727182,06c67538-b926-4cc8-a612-24d7eaa7b892,90.24,91,3008,90,329.99,2022/11/30/[1]87f4fdbebf224417b022622bda035390
1669794326983,c289cf17-7cd3-4d9f-862d-75c728abb4c4,89.73,90,3008,91,323.38,2022/11/30/[1]1d481287eeea4226bb3a6bc69b8bca81
1669797927246,e240ed6c-e6d8-46b6-b33b-b96edbc2633b,91.22,92,3008,90,442.27,2022/11/30/[1]35f0f07031a74e5da6ef7a1b2326d72f
1669801526962,b46bccdf-8a0a-4490-9268-8894b2b5d35d,98.99,99,3008,90,328.25,2022/11/30/[1]cc7f9af53b50487da28f8d46e280af3f
1669805127341,eee18bf0-17b8-4835-b870-4a0a6b6d3b5a,97.81,98,3008,90,416.02,2022/11/30/[1]ede2172624d043fbb29ee9fc97299ce8
1669808727019,737deec5-bbbc-44bc-83e9-f2085f81576c,120.37,121,3008,90,405.96,2022/11/30/[1]bce82d97b79b4cefa17a41c89846f854
