timestamp,id,duration,billed,memory,memUsed,restore,logStreamName
1669740320330,293b5e94-6109-4823-8b62-05d4099a80f7,273.69,627,3008,86,636.26,2022/11/29/[1]d3cd5b4f643c44bb986110c3e88dbfa0
1669743921225,a129517a-f192-4a91-a036-9a7aeaafb18a,131.61,1011,3008,86,1660.88,2022/11/29/[1]75a684787a544d80b01fe5c882dc08ab
1669747521093,179d5223-038b-46aa-9413-efbc28a13e7e,116.16,1916,3008,86,1859.84,2022/11/29/[1]d3d765389ced4657b952b987f8cac3d3
1669751119376,68d21d92-fcc8-4601-9c61-228d16c43493,97.67,229,3008,86,191.70,2022/11/29/[1]2b931dd6a9ce41f4b082df45ccd3e815
1669754719339,0e24d4b8-f202-401b-9162-f24721125b3d,117.29,158,3008,89,121.63,2022/11/29/[1]7e332eea24d4484ca10404dd44fe3649
1669758319315,90fedd6d-169d-4c0a-b33e-0fd98f1e752b,117.57,223,3008,87,159.92,2022/11/29/[1]67470862663f44aabf4223986742f489
1669761919065,dfae6f80-2188-47e2-8b68-a1da27c9b108,115.22,205,3008,88,149.43,2022/11/29/[1]4633ac8bc83142b88e24441bc56aaf12
1669765519454,77950bfc-b9a5-4557-be92-f91bcaed40fd,109.97,155,3008,86,209.72,2022/11/29/[1]421fc8d941d44382ac89b373e472ba0b
1669769119541,327d770e-3850-4e07-81a3-5c80b2e5b210,112.73,164,3008,88,111.99,2022/11/30/[1]8262ed14413c45b1a9876a361c078272
1669772719223,f53d8072-1941-4622-9c4d-487b00446c74,116.51,163,3008,89,116.05,2022/11/30/[1]e6c1295d3e4c404c9abdb89dc1f02fbd
1669776319319,e2612e60-7d89-47fb-86c4-a6f5010abd47,114.42,160,3008,90,102.40,2022/11/30/[1]028b6b4b549f4423b34fac573de33fe4
1669779919098,cafccb60-35b4-4c23-bbd5-95d630b7750b,122.10,201,3008,90,111.11,2022/11/30/[1]89a9acbfe31548ceaed133f53ff9c712
1669783519247,6a264d7c-c277-40ad-8864-a1566752efeb,106.34,181,3008,90,131.69,2022/11/30/[1]dde09cf442024c81ac64acc832409a98
